,abstract_id,country
0,pub.1005232724,"['NL', 'PA', 'BW']"
1,pub.1005232742,['CL']
2,pub.1005232947,"['SO', 'IR']"
3,pub.1005233115,['ES']
4,pub.1005233147,[]
5,pub.1005233193,"['PR', 'US']"
6,pub.1005233196,[]
7,pub.1005233265,['DE']
8,pub.1005233331,"['ZA', 'EG', 'GB']"
9,pub.1005233333,[]
10,pub.1005233366,['CL']
11,pub.1005233367,['BD']
12,pub.1005233390,['GB']
13,pub.1005233443,"['NL', 'PE']"
14,pub.1005233538,"['NO', 'SE', 'CA', 'AU']"
15,pub.1005233551,['AU']
16,pub.1005233584,['SE']
17,pub.1005233695,['KR']
18,pub.1005233696,"['LC', 'JP', 'TD']"
19,pub.1005233725,"['IS', 'CA']"
20,pub.1005233813,['UY']
21,pub.1005233929,['TH']
22,pub.1005233979,"['BR', 'EC']"
23,pub.1005234010,['FR']
24,pub.1005234023,['IM']
25,pub.1005234025,"['GB', 'AU']"
26,pub.1005234184,[]
27,pub.1005234193,"['RU', 'US']"
28,pub.1005234209,[]
29,pub.1005234250,"['IS', 'US', 'AU']"
30,pub.1005234312,['DK']
31,pub.1005234316,['PR']
32,pub.1005234347,['GR']
33,pub.1005234390,"['IN', 'JM', 'SR']"
34,pub.1005234439,[]
35,pub.1005234474,['NG']
36,pub.1005234476,['JP']
37,pub.1005234482,['CA']
38,pub.1005234534,['AT']
39,pub.1005234640,"['IO', 'GB']"
40,pub.1005234642,[]
41,pub.1005234734,['US']
42,pub.1005234739,['DE']
43,pub.1005234773,"['CH', 'PG', 'FR', 'BR', 'DK', 'CN', 'AU', 'SE']"
44,pub.1005234843,[]
45,pub.1005235029,['CA']
46,pub.1005235064,['US']
47,pub.1005235099,['NL']
48,pub.1005235109,"['IS', 'AU']"
49,pub.1005235148,[]
50,pub.1005235156,['NO']
51,pub.1005235187,['US']
52,pub.1005235208,['ZA']
53,pub.1005235254,"['PE', 'CN']"
54,pub.1005235393,['FI']
55,pub.1005235444,['CR']
56,pub.1005235495,"['HU', 'FJ', 'AT', 'FI', 'DK', 'BH', 'SE']"
57,pub.1005235512,['CA']
58,pub.1005235547,"['BR', 'CM']"
59,pub.1005235647,[]
60,pub.1005235694,"['GE', 'US']"
61,pub.1005235714,['JP']
62,pub.1005235767,['NL']
63,pub.1005235802,"['US', 'JM', 'GB', 'AU']"
64,pub.1005235803,"['CM', 'IN']"
65,pub.1005235806,[]
66,pub.1005235843,['BE']
67,pub.1005235885,"['NL', 'PE', 'CM', 'TR']"
68,pub.1005235995,['CO']
69,pub.1005236006,['IN']
70,pub.1005236041,['US']
71,pub.1005236172,['MX']
72,pub.1005236203,['CN']
73,pub.1005236421,['AR']
74,pub.1005236492,['NP']
75,pub.1005236527,['DK']
76,pub.1005236662,[]
77,pub.1005236671,"['CH', 'US']"
78,pub.1005236681,['SE']
79,pub.1005236744,['ES']
80,pub.1005236763,['IT']
81,pub.1005236807,['NL']
82,pub.1005236821,['UG']
83,pub.1005236875,['CN']
84,pub.1005236945,[]
85,pub.1005236971,['CL']
86,pub.1005237020,[]
87,pub.1005237058,"['PH', 'IN', 'FJ', 'US', 'AU', 'VN']"
88,pub.1005237071,"['JP', 'PK', 'IN', 'AU', 'ID']"
89,pub.1005237184,['CM']
90,pub.1005237337,['GB']
91,pub.1005237346,['US']
92,pub.1005237483,[]
93,pub.1005237531,"['SJ', 'RU', 'NO']"
94,pub.1005237589,"['JP', 'TR']"
95,pub.1005237656,"['ZA', 'ID', 'FJ']"
96,pub.1005237660,['NZ']
97,pub.1005237696,[]
98,pub.1005237751,"['LB', 'US']"
99,pub.1005237790,"['FR', 'RU', 'AU']"
100,pub.1005237813,['CH']
101,pub.1005237814,['PH']
102,pub.1005237849,['GL']
103,pub.1005237857,['DK']
