,abstract_id,country
0,pub.1087209842,"['CH', 'TR', 'GB', 'AU']"
1,pub.1087209861,['CH']
2,pub.1087209878,"['TN', 'US']"
3,pub.1087209885,"['US', 'MU']"
4,pub.1087209895,[]
5,pub.1087209938,['US']
6,pub.1087209966,['PL']
7,pub.1087209975,"['LT', 'BY']"
8,pub.1087209991,['FR']
9,pub.1087209995,"['AL', 'CY']"
10,pub.1087210026,['CH']
11,pub.1087210034,['US']
12,pub.1087210036,['US']
13,pub.1087210057,['BW']
14,pub.1087210059,"['PE', 'CM', 'CN']"
15,pub.1087210076,['US']
16,pub.1087210147,['CA']
17,pub.1087210150,['NL']
18,pub.1087210163,['US']
19,pub.1087210173,['FR']
20,pub.1087210231,['BG']
21,pub.1087210232,"['AT', 'KE']"
22,pub.1087210248,"['LT', 'AM']"
23,pub.1087210285,['AT']
24,pub.1087210302,"['IL', 'CM', 'US', 'NO']"
25,pub.1087210316,['IN']
26,pub.1087210321,['US']
27,pub.1087210326,"['IL', 'TR', 'GB']"
28,pub.1087210353,"['AT', 'CH']"
29,pub.1087210355,"['DE', 'DO', 'CL']"
30,pub.1087210385,"['KG', 'US']"
31,pub.1087210415,['YE']
32,pub.1087210445,"['CM', 'IQ']"
33,pub.1087210468,['GB']
34,pub.1087210486,['LR']
35,pub.1087210497,['US']
36,pub.1087210512,['CN']
37,pub.1087210559,['AT']
38,pub.1087210572,['NL']
39,pub.1087210574,"['PA', 'US']"
40,pub.1087210597,['CH']
41,pub.1087210598,['CO']
42,pub.1087210603,['CH']
43,pub.1087210608,['TH']
44,pub.1087210619,['FR']
45,pub.1087210623,"['PE', 'BT', 'IN', 'CN']"
46,pub.1087210671,['RO']
47,pub.1087210695,['US']
48,pub.1087210703,['AM']
49,pub.1087210713,"['NL', 'BA']"
50,pub.1087210718,"['DE', 'BG']"
51,pub.1087210719,"['DE', 'US']"
52,pub.1087210746,['CA']
53,pub.1087210766,"['ES', 'AR']"
54,pub.1087210836,['YE']
55,pub.1087210840,"['SY', 'LY', 'IQ', 'US']"
56,pub.1087210845,"['LC', 'GR']"
57,pub.1087210847,['CH']
58,pub.1087210854,"['DE', 'MA']"
59,pub.1087210861,"['US', 'RU', 'MX', 'GB']"
60,pub.1087210869,"['GB', 'HU']"
61,pub.1087210877,"['SE', 'TN']"
62,pub.1087210879,['FR']
63,pub.1087210881,"['NL', 'CL']"
64,pub.1087210890,"['CA', 'BE', 'GB']"
65,pub.1087210903,[]
66,pub.1087210920,"['AF', 'US']"
67,pub.1087210926,['GB']
68,pub.1087210948,['US']
69,pub.1087210969,['ET']
70,pub.1087210977,"['AT', 'LT']"
71,pub.1087211023,['PG']
72,pub.1087211031,['AT']
73,pub.1087211032,['US']
74,pub.1087211075,['CH']
75,pub.1087211169,['IE']
76,pub.1087211741,['US']
77,pub.1087211773,['IS']
78,pub.1087211774,['IS']
79,pub.1087211782,[]
80,pub.1087211790,['FJ']
81,pub.1087211806,['NP']
82,pub.1087211814,['CF']
83,pub.1087211817,['MG']
84,pub.1087211823,['US']
85,pub.1087211848,['ET']
86,pub.1087211858,['EG']
87,pub.1087211862,"['AT', 'LT']"
88,pub.1087211898,"['AR', 'VN']"
89,pub.1087211903,['US']
90,pub.1087211944,['ID']
91,pub.1087211961,['MD']
92,pub.1087211967,"['PH', 'RU', 'CD', 'BR', 'BW']"
93,pub.1087211973,['ES']
94,pub.1087211978,['CH']
95,pub.1087212014,['US']
96,pub.1087212052,[]
97,pub.1087212060,['FR']
98,pub.1087212061,['US']
99,pub.1087212082,['NL']
100,pub.1087212085,['TM']
101,pub.1087212090,['US']
102,pub.1087212115,['MD']
103,pub.1087212120,"['NL', 'KE']"
104,pub.1087212126,['JP']
105,pub.1087212207,"['NL', 'AT', 'CO']"
106,pub.1087212210,['ZA']
107,pub.1087212213,"['AR', 'CR']"
108,pub.1087212225,"['AT', 'BG']"
109,pub.1087212229,['AT']
110,pub.1087212232,['ET']
111,pub.1087212237,['GY']
112,pub.1087212284,"['GN', 'SL', 'LR']"
113,pub.1087212300,['HR']
114,pub.1087212312,"['GR', 'LU']"
115,pub.1087212316,['CH']
116,pub.1087212320,[]
117,pub.1087212357,['US']
118,pub.1087212363,"['AT', 'CH', 'TZ']"
119,pub.1087212369,['TJ']
120,pub.1087212372,"['US', 'LR']"
121,pub.1087212377,['US']
122,pub.1087212380,['DK']
123,pub.1087212389,"['DK', 'RO']"
124,pub.1087212442,[]
125,pub.1087212486,['US']
126,pub.1087212490,['FR']
127,pub.1087212528,"['YE', 'LB', 'KW', 'IQ', 'JO', 'SA', 'QA', 'US', 'BH', 'OM', 'AE', 'EG']"
128,pub.1087212562,['US']
129,pub.1087212579,[]
130,pub.1087212587,"['ML', 'SN']"
131,pub.1087212595,['BJ']
132,pub.1087212596,['US']
133,pub.1087212604,"['CA', 'TR', 'GB']"
134,pub.1087212615,['US']
135,pub.1087212638,['US']
136,pub.1087212664,['PE']
137,pub.1087212672,['US']
138,pub.1087212693,"['AT', 'KM']"
139,pub.1087212695,['US']
140,pub.1087212721,['NP']
141,pub.1087212737,[]
142,pub.1087212739,['AM']
143,pub.1087212753,['PE']
144,pub.1087212763,['US']
145,pub.1087212775,['CN']
146,pub.1087212785,"['YE', 'US']"
147,pub.1087212803,"['LT', 'UA']"
148,pub.1087212812,['CH']
149,pub.1087212834,"['SY', 'LY', 'IQ', 'US']"
150,pub.1087212854,['US']
151,pub.1087212858,['FR']
152,pub.1087212861,"['PY', 'US']"
153,pub.1087212874,['TM']
154,pub.1087212901,['MD']
155,pub.1087212926,"['TN', 'US']"
156,pub.1087212935,['BW']
157,pub.1087212973,['CN']
158,pub.1087212977,"['MG', 'LS', 'GM', 'GW', 'GN', 'ER', 'MZ', 'CF', 'TV', 'NP', 'NE', 'SB', 'YE', 'LR', 'AF', 'VU', 'ET', 'KM', 'BJ', 'BT', 'ML', 'UG', 'TZ', 'SL', 'TD', 'ST', 'KH', 'BD', 'RW', 'SS', 'MW', 'SO', 'SN', 'TG', 'BI', 'SD', 'DJ', 'KI', 'CD', 'GQ', 'MM', 'MR', 'AO', 'BF', 'HT', 'ZM']"
159,pub.1087212982,['DK']
160,pub.1087213000,['PL']
161,pub.1087213011,['MZ']
162,pub.1087213040,['GH']
163,pub.1087213042,['US']
164,pub.1087213046,['US']
165,pub.1087213064,['TZ']
166,pub.1087213065,['NL']
167,pub.1087213108,"['PE', 'US']"
168,pub.1087213114,"['XK', 'DE', 'AL']"
169,pub.1087213143,"['UA', 'DK']"
170,pub.1087213144,['CH']
171,pub.1087213145,['GL']
172,pub.1087213174,"['TR', 'GB', 'AU']"
173,pub.1087213186,"['MR', 'SN']"
174,pub.1087213188,"['AT', 'KG', 'US']"
175,pub.1087213305,"['SD', 'TD', 'FR', 'LY', 'SN']"
176,pub.1087213306,"['CV', 'GW', 'GN', 'PT', 'SN']"
177,pub.1087213310,"['CH', 'LI']"
178,pub.1087213316,"['YE', 'OM', 'IR', 'PT']"
179,pub.1087213320,"['RU', 'LC', 'IR', 'KZ', 'TJ']"
180,pub.1087213322,"['LC', 'PE', 'TM', 'KZ', 'TJ', 'TR', 'UZ']"
181,pub.1087213326,"['GE', 'PR', 'US', 'AZ', 'AM']"
182,pub.1087213330,"['FR', 'DJ', 'TR', 'ET']"
183,pub.1087213334,"['CH', 'LI']"
184,pub.1087213338,"['BG', 'SD', 'ES', 'MA', 'US', 'PT', 'TN']"
185,pub.1087213348,"['NL', 'FR']"
186,pub.1087213373,[]
187,pub.1087213377,['PE']
188,pub.1087213383,['CN']
189,pub.1087213410,"['BR', 'RO']"
190,pub.1087213411,"['IN', 'US']"
191,pub.1087213457,['CH']
192,pub.1087213466,"['AT', 'CY']"
193,pub.1087213513,"['RW', 'TZ']"
194,pub.1087214030,"['BG', 'SD', 'ES', 'MA', 'US', 'PT', 'TN']"
195,pub.1087214031,"['NR', 'KI']"
196,pub.1087214042,"['IO', 'BT', 'IN']"
197,pub.1087214044,"['SD', 'TD', 'FR', 'LY', 'SN']"
198,pub.1087214046,"['CV', 'GW', 'GN', 'PT', 'SN']"
199,pub.1087214051,"['YE', 'OM', 'IR', 'PT']"
200,pub.1087214054,"['HK', 'IO', 'US', 'TO']"
201,pub.1087214059,['CA']
202,pub.1087214116,['US']
203,pub.1087214181,['FR']
204,pub.1087214188,['PE']
205,pub.1087214205,['US']
206,pub.1087214208,"['BR', 'BS', 'MX', 'SV']"
207,pub.1087214247,['DE']
208,pub.1087214260,"['JP', 'IS', 'US']"
209,pub.1087214303,"['MG', 'US']"
210,pub.1087214304,[]
211,pub.1087214305,"['DE', 'MA']"
212,pub.1087214310,"['DE', 'MA']"
213,pub.1087214311,['MD']
214,pub.1087214316,['AM']
215,pub.1087214321,['PA']
216,pub.1087214324,"['CH', 'IL', 'TR', 'CA']"
217,pub.1087214345,['GH']
218,pub.1087214350,[]
219,pub.1087214354,['CA']
220,pub.1087214359,['SN']
221,pub.1087214395,"['TN', 'US']"
222,pub.1087214414,['TJ']
223,pub.1087214426,['CN']
224,pub.1087214459,[]
225,pub.1087214489,"['ZM', 'US']"
226,pub.1087214553,['FR']
227,pub.1087214556,['US']
228,pub.1087214577,['US']
229,pub.1087214583,"['AT', 'CZ']"
230,pub.1087214598,['MW']
231,pub.1087214608,[]
232,pub.1087214614,"['AT', 'PL']"
233,pub.1087214615,['US']
234,pub.1087214621,[]
235,pub.1087214639,['FR']
236,pub.1087214646,"['AT', 'NE']"
237,pub.1087214650,"['PE', 'US']"
238,pub.1087214670,['GE']
239,pub.1087214701,"['SE', 'EE']"
240,pub.1087214755,"['NL', 'CA']"
241,pub.1087214767,"['AT', 'HU']"
242,pub.1087214776,"['AT', 'US', 'CO']"
243,pub.1087214837,"['GH', 'US']"
244,pub.1087214845,"['TN', 'US']"
245,pub.1087214872,['CN']
246,pub.1087214876,"['CH', 'AL']"
247,pub.1087214885,['TM']
248,pub.1087214898,"['TT', 'NL', 'VC', 'US', 'SO']"
249,pub.1087214914,['BR']
250,pub.1087214929,['SN']
251,pub.1087214962,['UY']
252,pub.1087214968,"['US', 'CN']"
253,pub.1087214984,"['IL', 'IT']"
254,pub.1087215007,['FR']
255,pub.1087215009,"['LV', 'MD']"
256,pub.1087215012,['AT']
257,pub.1087215013,"['US', 'KZ']"
258,pub.1087215018,['NL']
259,pub.1087215038,['MX']
260,pub.1087215041,"['AT', 'LV']"
261,pub.1087215084,['US']
262,pub.1087215180,[]
263,pub.1087215216,['UA']
264,pub.1087215220,"['BE', 'CA', 'NL', 'DE', 'IT', 'LU', 'DK', 'IE']"
265,pub.1087215221,['CL']
266,pub.1087215329,['US']
267,pub.1087215331,"['JP', 'US']"
268,pub.1087215341,"['ES', 'LY']"
269,pub.1087215352,[]
270,pub.1087215393,[]
271,pub.1087215422,['US']
272,pub.1087215451,"['KG', 'US']"
273,pub.1087215485,['SN']
274,pub.1087215518,['US']
275,pub.1087215533,['CN']
276,pub.1087215537,[]
277,pub.1087215547,['CH']
