,abstract_id,country
0,pub.1000000004,['JP']
1,pub.1000000010,[]
2,pub.1000000040,['ES']
3,pub.1000000052,[]
4,pub.1000000093,['FJ']
5,pub.1000000131,['TW']
6,pub.1000000224,"['BR', 'ES', 'CU']"
7,pub.1000000234,"['GH', 'SN']"
8,pub.1000000244,"['DE', 'RS', 'AF']"
9,pub.1000000273,['FR']
10,pub.1000000281,"['DE', 'US', 'DK']"
11,pub.1000000370,['US']
12,pub.1000000404,[]
13,pub.1000000433,[]
14,pub.1000000481,['BR']
15,pub.1000000518,['BF']
16,pub.1000000533,"['SC', 'US']"
17,pub.1000000592,[]
18,pub.1000000836,['NO']
19,pub.1000000920,"['GL', 'US']"
20,pub.1000000951,['UA']
21,pub.1000000970,['NG']
22,pub.1000001044,['BR']
23,pub.1000001079,['CH']
24,pub.1000001082,['NZ']
25,pub.1000001115,"['PE', 'FJ']"
26,pub.1000001157,"['PE', 'KZ']"
27,pub.1000001208,['IN']
28,pub.1000001252,['IR']
29,pub.1000001391,"['LC', 'JP']"
30,pub.1000001409,['US']
31,pub.1000001426,['CA']
32,pub.1000001755,['ET']
33,pub.1000001894,"['IE', 'GH']"
34,pub.1000001908,"['ES', 'AF']"
35,pub.1000001919,"['HK', 'US', 'CN']"
36,pub.1000001958,[]
37,pub.1000002025,[]
38,pub.1000002044,['PK']
39,pub.1000002071,['LK']
40,pub.1000002097,['KE']
41,pub.1000002160,['ZA']
42,pub.1000002164,[]
43,pub.1000002225,[]
44,pub.1000002259,"['IM', 'DE']"
45,pub.1000002324,['GH']
46,pub.1000002513,[]
47,pub.1000002556,['DE']
48,pub.1000002686,['CN']
49,pub.1000002760,"['NG', 'US']"
50,pub.1000002907,"['AQ', 'HK']"
51,pub.1000002936,['SL']
52,pub.1000002976,"['PH', 'ID', 'US']"
53,pub.1000002987,['FR']
54,pub.1000003090,['CN']
55,pub.1000003099,['BR']
56,pub.1000003118,"['NG', 'BH']"
57,pub.1000003162,"['DE', 'FJ']"
58,pub.1000003180,['IN']
59,pub.1000003193,"['PH', 'MY', 'IN', 'AU', 'SG', 'VN', 'NZ']"
60,pub.1000003349,['GB']
61,pub.1000003382,['NL']
62,pub.1000003603,"['PE', 'VN', 'CM']"
63,pub.1000003610,['CN']
64,pub.1000003698,['IN']
65,pub.1000003815,['BD']
66,pub.1000003816,['CU']
67,pub.1000003844,"['IL', 'IQ', 'LR']"
68,pub.1000003892,"['US', 'AU']"
69,pub.1000003893,['IN']
70,pub.1000003954,['BR']
71,pub.1000003988,['IO']
72,pub.1000003990,"['GH', 'GB']"
73,pub.1000004016,['CN']
74,pub.1000004040,[]
75,pub.1000004126,['RS']
76,pub.1000004168,['SI']
77,pub.1000004169,[]
78,pub.1000004208,['IN']
79,pub.1000004244,[]
80,pub.1000004297,['CM']
81,pub.1000004540,[]
82,pub.1000004577,[]
83,pub.1000004615,['IN']
84,pub.1000004657,"['IT', 'GB', 'CM', 'MX', 'AU', 'IE']"
85,pub.1000004673,"['TW', 'CN']"
86,pub.1000004823,"['CO', 'NL', 'IN', 'ES', 'PE', 'MX', 'HN']"
87,pub.1000004829,['GB']
88,pub.1000004859,"['NL', 'CM', 'SA']"
89,pub.1000004954,['JP']
90,pub.1000005002,['MN']
91,pub.1000005007,"['BJ', 'CN']"
92,pub.1000005013,['US']
93,pub.1000005082,"['TR', 'CA', 'SS']"
94,pub.1000005119,"['BW', 'US']"
95,pub.1000005199,[]
96,pub.1000005244,['CN']
97,pub.1000005359,['AU']
98,pub.1000005447,['NL']
99,pub.1000005541,['NE']
100,pub.1000005558,['DE']
101,pub.1000005676,['IN']
102,pub.1000005758,"['SG', 'US']"
103,pub.1000005765,"['ZA', 'KE', 'TZ']"
104,pub.1000005798,['FR']
105,pub.1000006034,"['DE', 'GR', 'DK', 'RO']"
106,pub.1000006037,['MX']
107,pub.1000006041,['IM']
108,pub.1000006098,['RU']
109,pub.1000006197,[]
110,pub.1000006242,['MY']
111,pub.1000006285,['FR']
112,pub.1000006325,"['BR', 'CI']"
113,pub.1000006424,"['AF', 'IQ']"
114,pub.1000006467,['TZ']
115,pub.1000006499,"['JP', 'SO']"
116,pub.1000006515,['CI']
117,pub.1000006635,[]
118,pub.1000006735,"['FR', 'CA']"
119,pub.1000006805,"['MD', 'US']"
120,pub.1000006894,"['TH', 'LA', 'VN', 'KH']"
