,abstract_id,country
0,pub.1002632835,['IN']
1,pub.1002632899,['RS']
2,pub.1002632957,"['SI', 'PL', 'IT', 'ES']"
3,pub.1002632975,['CM']
4,pub.1002633000,['US']
5,pub.1002633046,['CN']
6,pub.1002633074,['NL']
7,pub.1002633242,['CI']
8,pub.1002633258,['US']
9,pub.1002633316,['RW']
10,pub.1002633474,[]
11,pub.1002633497,['US']
12,pub.1002633508,"['PE', 'IT', 'CO']"
13,pub.1002633515,['CA']
14,pub.1002633539,['BR']
15,pub.1002633608,['US']
16,pub.1002633674,"['IE', 'GB', 'BE', 'US']"
17,pub.1002633730,"['ID', 'CM']"
18,pub.1002633750,['CM']
19,pub.1002633803,['GB']
20,pub.1002633839,['US']
21,pub.1002633881,['BD']
22,pub.1002633937,"['JP', 'CN', 'PE', 'US', 'TW']"
23,pub.1002633941,[]
24,pub.1002634108,['BH']
25,pub.1002634157,[]
26,pub.1002634162,['UG']
27,pub.1002634277,['US']
28,pub.1002634338,['BR']
29,pub.1002634358,"['IR', 'GR', 'US']"
30,pub.1002634359,"['MY', 'CN']"
31,pub.1002634433,['MY']
32,pub.1002634453,['CN']
33,pub.1002634492,"['GB', 'US']"
34,pub.1002634522,['GR']
35,pub.1002634577,['CN']
36,pub.1002634702,['CN']
37,pub.1002634753,['NZ']
38,pub.1002634838,['MX']
39,pub.1002634906,['GB']
40,pub.1002634911,['MY']
41,pub.1002634950,['CA']
42,pub.1002635027,"['HK', 'CM', 'GE', 'US']"
43,pub.1002635104,"['JP', 'US']"
44,pub.1002635112,"['LC', 'JP']"
45,pub.1002635323,['IN']
46,pub.1002635367,['SE']
47,pub.1002635424,[]
48,pub.1002635434,[]
49,pub.1002635500,['TH']
50,pub.1002635501,['GR']
51,pub.1002635530,"['HK', 'US', 'CN']"
52,pub.1002635537,['HK']
53,pub.1002635632,['NO']
54,pub.1002635700,[]
55,pub.1002635763,"['GH', 'FJ']"
56,pub.1002635837,[]
57,pub.1002635852,[]
58,pub.1002635862,"['IO', 'CM']"
59,pub.1002635902,['BH']
60,pub.1002635948,[]
61,pub.1002636105,['PL']
62,pub.1002636156,['DE']
63,pub.1002636195,"['NL', 'PE']"
64,pub.1002636280,['JP']
65,pub.1002636300,"['ZA', 'US', 'NL']"
66,pub.1002636309,[]
67,pub.1002636316,['NZ']
68,pub.1002636336,['BR']
69,pub.1002636409,[]
70,pub.1002636430,[]
71,pub.1002636548,[]
72,pub.1002636592,"['CA', 'DE', 'FR', 'GB', 'NO', 'ES', 'US', 'SO', 'NE']"
73,pub.1002636604,['IT']
74,pub.1002636623,[]
75,pub.1002636699,[]
76,pub.1002636725,['GB']
77,pub.1002636774,"['NL', 'PE', 'CM', 'US']"
78,pub.1002636975,"['NP', 'JM', 'CO']"
79,pub.1002636999,['NZ']
80,pub.1002637246,['FR']
81,pub.1002637375,['CN']
82,pub.1002637384,['MX']
83,pub.1002637392,['RO']
84,pub.1002637428,['UG']
85,pub.1002637645,['HR']
86,pub.1002637677,['MY']
87,pub.1002637707,[]
88,pub.1002637761,['BA']
89,pub.1002638097,['FJ']
90,pub.1002638139,['GB']
91,pub.1002638164,['NZ']
92,pub.1002638197,['US']
93,pub.1002638201,"['NL', 'RS', 'TM']"
94,pub.1002638242,"['US', 'AU']"
95,pub.1002638249,['RU']
