,abstract_id,country
0,pub.1141307869,[]
1,pub.1141307886,['JP']
2,pub.1141307891,['BR']
3,pub.1141307893,"['US', 'CA', 'NL']"
4,pub.1141307904,"['HK', 'JP', 'CN']"
5,pub.1141307909,"['NG', 'CM']"
6,pub.1141307919,['IL']
7,pub.1141307925,[]
8,pub.1141307928,['ID']
9,pub.1141307930,['IE']
10,pub.1141307932,['IL']
11,pub.1141307951,['AU']
12,pub.1141307957,"['ZW', 'CM', 'US', 'ZA', 'JM']"
13,pub.1141307964,['NL']
14,pub.1141307965,['IN']
15,pub.1141307973,['IN']
16,pub.1141307983,"['HU', 'BR', 'CH']"
17,pub.1141307988,['BD']
18,pub.1141307989,['IN']
19,pub.1141308025,['IR']
20,pub.1141308026,"['LS', 'AL']"
21,pub.1141308027,['MM']
22,pub.1141308029,['IR']
23,pub.1141308030,"['ID', 'CM']"
24,pub.1141308035,['CH']
25,pub.1141308043,['SA']
26,pub.1141308049,"['ET', 'CM']"
27,pub.1141308074,[]
28,pub.1141308155,"['BO', 'MX', 'GT']"
29,pub.1141308156,"['BO', 'MX', 'GT']"
30,pub.1141308157,"['BO', 'MX', 'GT']"
31,pub.1141308158,"['BO', 'MX', 'GT']"
32,pub.1141308159,"['BO', 'MX', 'GT', 'CO']"
33,pub.1141308160,"['BO', 'MX', 'BR', 'US', 'GT']"
34,pub.1141308161,"['BO', 'MX', 'GT']"
35,pub.1141308162,"['BO', 'MX', 'GT']"
36,pub.1141308163,"['BO', 'MX', 'GT']"
37,pub.1141308164,"['BO', 'MX', 'GT']"
38,pub.1141308165,"['BO', 'MX', 'BR', 'GT']"
39,pub.1141308166,"['CL', 'MX', 'BO', 'GT']"
40,pub.1141308167,"['BO', 'GT', 'MX', 'CM']"
41,pub.1141308168,"['BO', 'MX', 'GT']"
42,pub.1141308205,['FR']
43,pub.1141308207,['FR']
44,pub.1141308277,['CN']
45,pub.1141308314,['GB']
46,pub.1141308381,['RU']
47,pub.1141308399,[]
48,pub.1141308433,"['ZA', 'BH', 'CM', 'HK']"
49,pub.1141308436,"['BD', 'PE', 'PH', 'ID', 'NP', 'TH', 'IN']"
50,pub.1141308440,[]
51,pub.1141308478,[]
52,pub.1141309343,[]
53,pub.1141309350,['IN']
54,pub.1141309357,['IN']
55,pub.1141309408,['TZ']
56,pub.1141309497,['IN']
57,pub.1141309498,['MY']
58,pub.1141309505,['BR']
59,pub.1141309530,['IR']
60,pub.1141309570,[]
61,pub.1141309578,[]
62,pub.1141309583,['MY']
63,pub.1141309584,['US']
64,pub.1141309586,['MY']
65,pub.1141309587,['MU']
66,pub.1141309593,['UA']
67,pub.1141309594,['UA']
68,pub.1141309598,['US']
69,pub.1141309624,[]
70,pub.1141309646,['BR']
71,pub.1141309651,['ET']
72,pub.1141309682,['BR']
73,pub.1141309843,[]
74,pub.1141309845,['ZA']
75,pub.1141309846,[]
76,pub.1141309848,"['ZA', 'GB']"
77,pub.1141309850,"['ZA', 'AU']"
